SubID	BG2	Sex	FPS
0011	0	female	19.4909277777778
0012	0	female	48.4069444444445
0013	0	female	-22.5285
0014	0	female	6.72378333333334
0015	0	female	89.6587222222222
0016	0	female	40.5737777777778
0021	0	female	29.4732666666667
0022	0	female	15.3367166666667
0023	0	female	51.8552222222222
0024	0	female	90.8782222222222
0025	0	female	110.945166666667
0026	0	female	67.2872222222222
0111	0	male	2.72804444444444
0112	0	male	104.916733333333
0113	0	male	0.463294444444445
0114	0	male	68.7580555555556
0115	0	male	51.3169111111111
0116	0	male	1.19436666666667
0121	0	male	33.7577777777778
0122	0	male	43.9084444444444
0123	0	male	41.5570555555555
0124	0	male	6.81983333333333
0125	0	male	-98.0977777777778
0126	0	male	85.3822222222222
1011	1	female	62.0589722222222
1012	1	female	92.0072777777778
1013	1	female	18.0688888888889
1014	1	female	66.9003888888889
1015	1	female	50.1683333333333
1016	1	female	79.5246888888889
1021	1	female	93.5966666666666
1022	1	female	99.9445666666667
1023	1	female	136.824833333333
1024	1	female	68.7435
1025	1	female	46.4566666666667
1026	1	female	15.4402055555556
1111	1	male	2.5316111111111
1112	1	male	45.1817777777777
1113	1	male	53.1767222222222
1114	1	male	3.02128333333334
1115	1	male	8.03094388888889
1116	1	male	12.9831555555556
1121	1	male	43.9016666666667
1122	1	male	6.94738888888889
1123	1	male	13.7657777777778
1124	1	male	11.85905
1125	1	male	23.7570722222222
1126	1	male	14.1813444444444
2011	1	female	19.4203555555556
2012	1	female	36.1118888888889
2013	1	female	-26.0688888888888
2014	1	female	-3.32005555555555
2015	1	female	0.172447777777778
2016	1	female	30.4531111111112
2021	1	female	32.5032222222222
2022	1	female	-3.34966111111111
2023	1	female	19.5987222222222
2024	1	female	57.2680555555556
2025	1	female	11.5469
2026	1	female	69.5974833333333
2111	1	male	41.5882777777778
2112	1	male	162.736611111111
2113	1	male	37.4046666666667
2114	1	male	19.1871777777778
2115	1	male	22.3758222222222
2116	1	male	4.71238555555555
2121	1	male	49.2487222222222
2122	1	male	59.7859555555556
2123	1	male	4.18186111111111
2124	1	male	3.61733333333333
2125	1	male	8.76477777777778
2126	1	male	36.6995555555556
3011	1	female	110.054777777778
3012	1	female	10.7332833333333
3013	1	female	13.6191666666667
3014	1	female	15.0208333333333
3015	1	female	59.6233888888889
3016	1	female	5.75214444444444
3021	1	female	14.0854388888889
3022	1	female	38.3396666666667
3023	1	female	17.6768722222222
3024	1	female	33.8851666666667
3025	1	female	10.6911111111111
3026	1	female	6.80750833333333
3111	1	male	5.25496111111111
3112	1	male	14.6036111111111
3113	1	male	6.41856666666667
3114	1	male	36.9982222222222
3115	1	male	5.23428333333333
3116	1	male	0.00627777777777302
3121	1	male	1.18222222222221
3122	1	male	-1.86317222222222
3123	1	male	14.7277833333333
3124	1	male	0.715227777777778
3125	1	male	0.379378888888891
3126	1	male	16.2580222222222
