SubID	StudyHours	IQ	Exam
1	9.197648823	106.3939265	79.66300185
2	10.89747646	103.0285901	59.58193345
3	10.50809122	98.1138388	70.21450529
4	12.29700259	110.4277707	59.25460126
5	8.789880772	93.35694279	55.80582328
6	11.53365472	114.2746105	72.95168938
7	6.354270414	94.85907965	54.70055549
8	4.147775567	72.29655237	52.83904722
9	12.47477997	104.1563553	64.74052313
10	7.79978625	96.82621569	63.33874047
11	12.64641943	129.3304082	90.34061056
12	8.42790117	88.84956134	38.83355564
13	10.88366767	97.0586239	70.32027259
14	12.21289352	80.90017728	63.03984695
15	11.07257693	103.359536	52.87673928
16	5.19914146	91.10008294	53.62699148
17	12.70798483	108.2174078	67.47889751
18	13.38533729	129.5894217	78.2038891
19	10.47059338	87.67079441	49.32230566
20	8.162463419	116.6994305	75.2949771
21	9.783361204	115.5234707	59.09727045
22	12.17977247	112.7169967	53.43157772
23	10.06833978	103.1457725	76.51351033
24	13.32714249	107.1584131	66.35648675
25	13.54188274	128.8426026	67.75604406
26	12.59299285	112.6978775	73.85956331
27	10.0859289	110.1097047	58.57170699
28	8.559484422	103.2767074	50.35241678
29	6.578543078	86.06209912	47.863355
30	10.93375584	90.66983081	47.83549708
31	9.100598872	115.5564421	54.6343759
32	7.100936965	89.41077586	52.84271581
33	8.193855528	76.63078774	49.86924527
34	10.40066001	97.02719781	67.84916083
35	8.041342999	75.56061161	61.1398779
36	10.83334072	121.1816937	72.82629686
37	11.31101077	86.03123966	58.43387412
38	10.30630352	124.3499785	70.1328877
39	9.937903598	120.9883898	71.46374874
40	10.59807743	104.0210345	73.01086256
41	10.0558069	110.2097701	65.92777486
42	7.745287949	93.31279967	59.79682438
43	7.774965819	75.87674531	47.06777642
44	10.07346432	114.9882787	66.7729439
45	11.27376145	88.67755891	53.10572248
46	9.783013535	124.2409261	80.95621294
47	8.937122525	77.69526784	54.49764549
48	6.598645222	82.91571686	52.79273536
49	10.09862408	107.9866666	64.51843483
50	12.33497884	117.324365	80.60923726
51	10.91442645	86.47311304	78.30511491
52	5.922792438	107.7771691	50.8596572
53	8.309221551	95.80276404	44.9270051
54	6.925685552	99.78031692	57.25392869
55	11.64979409	125.5878909	84.66485692
56	7.931061936	86.96717044	47.25719604
57	9.613445505	75.70210736	47.55476679
58	9.10730281	95.01632245	25.98738422
59	11.98735086	98.03991234	75.45490952
60	7.532373795	96.32933393	50.6396133
61	10.57924397	110.5668243	84.59970672
62	9.761819686	109.2996061	67.28877725
63	9.641555646	103.8338713	53.54843768
64	9.213477014	109.0679222	54.70561207
65	9.368899149	109.3695692	76.95037457
66	11.26536071	90.54425718	41.92214536
67	7.836855165	103.9091924	70.05494072
68	10.097004	99.48430583	41.62496712
69	9.946370899	117.3677898	68.53634916
70	13.16052028	124.1987339	76.22103635
71	11.68748263	90.6140407	47.69935918
72	12.36566314	104.2392326	69.50752295
73	10.04567519	97.61137232	45.76060606
74	5.999127064	85.83861935	57.23233993
75	8.951285021	105.7590808	47.10736737
76	12.08446887	103.9195388	71.80588048
77	10.47125422	89.28844357	64.96141886
78	10.73272251	92.86878863	50.05325671
79	10.6042943	83.2115704	59.3735532
80	8.855141433	93.2062185	55.98738207
81	10.85215554	89.38979011	62.07644946
82	11.78988519	107.3207766	69.80126528
83	14.92010908	127.7299298	68.19385019
84	6.984317528	93.03358118	54.75270953
85	6.517961976	70.15358095	52.04747007
86	8.685926387	114.7643086	76.91990679
87	10.76822757	78.72804673	46.9896684
88	8.821226907	73.50956482	56.22628541
89	7.898485238	63.67042735	54.86490636
90	9.751092204	84.03830619	63.26625506
91	7.952877488	89.60057392	64.4981341
92	9.519219294	83.87774841	70.37612765
93	13.56953558	116.6603029	57.70839149
94	9.854553603	113.444331	75.83736845
95	12.60001373	117.6155974	63.86512429
96	8.640302466	99.51923976	49.6183971
97	13.2254778	103.9542269	55.6308151
98	10.82980367	102.3179406	49.84568709
99	8.43080477	102.9750762	68.22212332
100	7.109594988	73.78153861	55.70515642
101	8.151005637	83.54884149	41.53908936
102	12.95440668	98.46022701	63.40881808
103	7.567357861	91.70519005	53.80553333
104	11.32935548	101.3937444	54.97723152
105	11.86514579	109.2862701	66.66850922
106	7.317226861	99.28853822	69.12175497
107	8.734979595	87.81587428	51.51962537
108	8.093273279	85.60031172	60.26669862
109	10.81856488	83.90608777	48.97128882
110	11.07622932	110.4573912	80.89446353
111	9.303614841	95.45002135	70.75285101
112	9.003169551	129.2532759	86.56098857
113	6.743755654	89.46071959	51.75191517
114	11.88627499	111.968458	68.82036764
115	10.90349165	104.5335389	87.43021269
116	11.02906786	112.4099553	53.41276263
117	9.480826125	101.9478706	78.03745705
118	6.848589499	84.38336091	45.40081095
119	10.88868702	76.74781835	61.14986198
120	9.625598503	91.06306259	53.55040622
121	9.377448358	108.3354616	62.1983892
122	6.527666722	101.9965878	54.62378555
123	11.4457835	86.68276663	51.26955556
124	8.798378333	92.20944869	53.68540826
125	10.1304843	100.5789652	53.71632692
126	10.72344112	104.747031	70.48973488
127	9.00469321	93.33098423	62.7931506
128	11.52251594	87.68210165	63.8969075
129	11.38606237	85.64840332	53.77173275
130	13.40791396	127.9611875	73.02618249
131	6.301697694	66.57798433	46.71926971
132	12.14287486	115.9592301	75.00899846
133	10.01121459	119.2944567	72.99486184
134	9.751093135	109.851335	72.20694396
135	9.88744276	96.74031984	64.81045986
136	10.10551604	97.06379273	67.25899431
137	11.65047107	113.3800823	65.00107675
138	10.65960249	108.8886002	65.27095162
139	8.587898805	106.4607768	61.30967104
140	13.01698511	115.8922531	56.15955514
141	10.34406134	100.0642799	62.56143792
142	10.99388285	128.9485624	86.29721689
143	12.21101449	113.1944368	50.35297095
144	13.93639746	113.9798305	82.55453305
145	9.693344594	89.12642481	64.18362395
146	7.484645506	71.19498681	62.32506767
147	12.95623167	117.2469355	93.6929877
148	11.6636142	110.6331079	73.6982493
149	10.04033304	105.0280177	69.91767323
150	9.555308417	73.65041956	41.06050294
151	9.545306478	85.18460022	66.67135911
152	9.240717967	96.96573756	73.639219
153	14.04878745	110.9889955	68.31366097
154	12.04727713	98.57527257	67.14526971
155	11.22291702	84.33974619	66.56950336
156	11.05050206	100.128128	55.26889035
157	13.94351534	129.4953464	56.50031692
158	8.838911891	85.89765152	44.55307133
159	14.02891244	108.415777	63.49443138
160	12.56689081	103.8170714	80.46730533
161	9.855713971	106.3288892	62.85640812
162	9.433955414	98.80479206	50.95621913
163	11.68968289	93.35246518	65.10925025
164	7.632541255	107.6282221	50.28505489
165	10.84814032	132.4826939	80.53615384
166	9.727474298	113.2265335	62.6466594
167	8.767632936	80.31346441	45.75835409
168	11.59932902	118.8574435	67.01185447
169	9.896486114	69.68004751	41.90804256
170	10.55998313	118.565171	71.10453601
171	11.4598251	114.248935	81.74170199
172	12.74726968	102.3443488	59.17756013
173	10.3538949	88.62093901	53.28483032
174	9.136592896	107.7697821	60.07734339
175	7.884997087	98.54904817	64.75973461
176	10.64152807	122.5389858	50.34862724
177	6.296179936	83.88989353	43.46946941
178	10.96066775	84.11290298	76.77055188
179	7.651027759	87.5238105	60.73615394
180	8.470310046	89.383473	73.72502693
181	12.4331871	97.22686812	51.15046138
182	10.17491093	104.4340268	75.79226553
183	8.23927189	61.60215342	57.43895569
184	11.2327426	89.13733661	78.30127132
185	7.090175564	83.17937997	54.69193664
186	8.292837228	112.2230798	56.85803267
187	8.418485391	107.2726424	68.91773127
188	12.00723277	103.4466141	73.06148203
189	12.63534608	108.3039424	71.5959457
190	6.945718752	98.54900115	59.64478847
191	7.454552466	117.1916549	48.73213552
192	12.67604765	131.2742247	82.34725794
193	9.550926436	101.6188898	67.40377522
194	7.516535639	97.90137919	50.3991929
195	8.057385677	67.87009344	53.81192093
196	8.480338441	99.75823902	67.81478677
197	11.03036619	98.31817393	75.77858901
198	8.894747947	82.72661959	52.17065298
199	9.715749279	99.13236568	67.87480562
200	11.46433417	107.3148046	52.52914321
