SubID	FPS
11	19.49092778
12	48.40694444
13	-22.5285
14	6.723783333
15	89.65872222
16	40.57377778
21	29.47326667
22	15.33671667
23	51.85522222
24	90.87822222
25	110.9451667
26	67.28722222
111	2.728044444
112	104.9167333
113	0.463294444
114	68.75805556
115	51.31691111
116	1.194366667
121	33.75777778
122	43.90844444
123	41.55705556
124	6.819833333
125	-98.09777778
126	85.38222222
1011	62.05897222
1012	92.00727778
1013	18.06888889
1014	66.90038889
1015	50.16833333
1016	79.52468889
1021	93.59666667
1022	99.94456667
1023	136.8248333
1024	68.7435
1025	46.45666667
1026	15.44020556
1111	2.531611111
1112	45.18177778
1113	53.17672222
1114	3.021283333
1115	8.030943889
1116	12.98315556
1121	43.90166667
1122	6.947388889
1123	13.76577778
1124	11.85905
1125	23.75707222
1126	14.18134444
2011	19.42035556
2012	36.11188889
2013	-26.06888889
2014	-3.320055556
2015	0.172447778
2016	30.45311111
2021	32.50322222
2022	-3.349661111
2023	19.59872222
2024	57.26805556
2025	11.5469
2026	69.59748333
2111	41.58827778
2112	162.7366111
2113	37.40466667
2114	19.18717778
2115	22.37582222
2116	4.712385556
2121	49.24872222
2122	59.78595556
2123	4.181861111
2124	3.617333333
2125	8.764777778
2126	36.69955556
3011	110.0547778
3012	10.73328333
3013	13.61916667
3014	15.02083333
3015	59.62338889
3016	5.752144444
3021	14.08543889
3022	38.33966667
3023	17.67687222
3024	33.88516667
3025	10.69111111
3026	6.807508333
3111	5.254961111
3112	14.60361111
3113	6.418566667
3114	36.99822222
3115	5.234283333
3116	0.006277778
3121	1.182222222
3122	-1.863172222
3123	14.72778333
3124	0.715227778
3125	0.379378889
3126	16.25802222
