SubID	Time	Age	Miles
01	24.91	29	24.9998360127211
02	21.82	25	30.8090538717806
03	21.54	27	52.0404152106494
04	23.03	25	66.2095761485398
05	25.35	37	26.600052472204
06	22.84	31	48.212545113638
07	30.16	43	12.3975740605965
08	27	44	20.9710098709911
09	16.42	46	41.411156677641
10	24.87	53	20.9074585791677
11	24.95	58	50.2780788065866
12	18.32	30	30.1162540912628
13	16.66	27	56.352744535543
14	25.08	36	22.5046813115478
15	16.53	32	56.838445388712
16	35.29	45	12.6825469918549
17	26.41	45	43.6169229820371
18	22.48	48	57.3937487974763
19	34.38	55	11.3254282949492
20	19	53	42.9441522201523
21	21.86	24	27.6483148476109
22	22.11	24	31.4959823852405
23	17.45	25	59.48705884628
24	24.58	34	39.6303861215711
25	19.97	36	49.3157689459622
26	34.34	45	11.806132174097
27	25.22	49	40.6674233917147
28	20.52	44	68.9948243787512
29	29.98	55	24.8429904459044
30	21.62	57	50.0047857966274
31	19.35	29	25.9452882548794
32	20.45	24	59.908247012645
33	16.07	28	59.8247203975916
34	23.06	38	32.8640890587121
35	20.94	31	43.4354989090934
36	28.77	42	11.0682554962113
37	29.86	46	35.870573464781
38	22.96	46	59.9696016591042
39	25.62	56	29.1113142389804
40	24.98	55	48.8098374055699
41	29.68	22	27.0507513685152
42	20.36	24	35.2032603882253
43	18.07	22	54.7208610316738
44	28.78	39	23.6775965616107
45	18.8	39	47.0252510532737
46	14.87	39	50.4456326738
47	32.19	47	26.3709527393803
48	19.46	40	41.3699083821848
49	35.32	58	24.8823385499418
50	20.83	59	43.9046117803082
51	22.69	27	25.6468594353646
52	15.69	24	55.8425769256428
53	30.89	32	20.4941780632362
54	23.11	34	39.5978242345154
55	19.17	35	55.6490582274273
56	26.09	41	30.6268034363165
57	21.81	50	56.7551218066365
58	37.75	51	19.956604023464
59	30.3	51	33.7670895736665
60	22.95	51	40.9024607157335
61	20.14	20	20.2779642632231
62	15.23	24	45.1344671659172
63	18.53	22	59.8563291784376
64	24.96	35	48.5312279872596
65	19.21	31	58.1629268685356
66	25.07	41	27.1954043954611
67	20.99	43	58.5856565739959
68	29.94	59	29.6620916714892
69	23.08	59	46.1043616523966
70	21.52	53	52.7553236391395
71	21.38	27	44.3579118186608
72	19.52	28	59.6299617318437
73	27	37	11.0130709176883
74	17.61	39	35.5404576146975
75	15.19	39	55.6381596531719
76	26.03	45	24.5739356707782
77	21.51	42	50.7462191954255
78	34.53	58	17.3169470857829
79	23.68	56	45.9343252517283
80	23.5	53	69.4858172163367
