SubID	SmokeCon	CigType	anxSTL	baseSTL
1200	0.5	-0.5	22.10798333	4.186281667
1201	0.5	-0.5	49.21	9.601316667
1202	0.5	-0.5	41.41238333	16.00968333
1203	0.5	-0.5	29.2669	59.72233333
1204	0.5	-0.5	6.783571667	12.8301
1205	0.5	-0.5	49.17833333	34.71866667
1206	0.5	-0.5	18.959	54.13583333
1207	0.5	-0.5	7.182375	18.40546667
1208	0.5	-0.5	83.36783333	119.4153333
1210	0.5	0.5	74.2385	109.6575
1211	0.5	0.5	26.82516667	39.92833333
1212	0.5	0.5	16.4517	4.141635
1213	0.5	0.5	12.91291667	16.73033333
1214	0.5	0.5	37.91743333	59.53983333
1216	0.5	0.5	212.9378333	232.8033333
1217	0.5	0.5	26.56711667	29.5225
1218	0.5	0.5	102.0443333	65.69266667
1219	0.5	0.5	57.71083333	69.33966667
1220	0.5	-0.5	45.35433333	51.55135
1221	0.5	-0.5	29.52456667	7.883938333
1222	0.5	-0.5	75.247	44.914
1223	0.5	-0.5	47.78283333	75.19183333
1224	0.5	-0.5	120.0556667	124.9938333
1225	0.5	-0.5	158.64	103.4663333
1226	0.5	-0.5	52.93483333	103.2303333
1228	0.5	-0.5	56.28633333	259.27
1229	0.5	-0.5	128.5928333	153.3633333
1230	0.5	0.5	10.74028333	9.6757
1231	0.5	0.5	86.40603333	18.80165
1232	0.5	0.5	116.7405	68.709
1235	0.5	0.5	227.59	293.04
2200	-0.5	-0.5	7.030583333	23.5135
2201	-0.5	-0.5	23.20351667	14.46963333
2202	-0.5	-0.5	251.5083333	255.2533333
2204	-0.5	-0.5	164.1233333	116.445
2207	-0.5	-0.5	77.77911667	85.92366667
2210	-0.5	0.5	57.42	8.5466
2211	-0.5	0.5	44.48183333	30.60716667
2212	-0.5	0.5	24.13951667	36.3256
2213	-0.5	0.5	64.39183333	46.21716667
2214	-0.5	0.5	65.2505	35.7645
2215	-0.5	0.5	145.7745	164.5426667
2216	-0.5	0.5	14.71833333	14.12286667
2217	-0.5	0.5	166.0066667	140.1761667
2218	-0.5	0.5	148.4963333	120.449
2219	-0.5	0.5	37.54176667	14.21555
2220	-0.5	-0.5	160.4691667	84.65633333
2221	-0.5	-0.5	96.774	15.51086667
2223	-0.5	-0.5	196.635	39.66515
2224	-0.5	-0.5	36.3025	17.75416667
2226	-0.5	-0.5	50.70766667	82.82166667
2227	-0.5	-0.5	76.44716667	30.482
2228	-0.5	-0.5	101.5317333	39.59433333
2229	-0.5	-0.5	71.7785	53.4185
2230	-0.5	0.5	48.6235	76.99566667
2231	-0.5	0.5	43.58215	54.171
2232	-0.5	0.5	11.15013333	7.617066667
2234	-0.5	0.5	152.5658333	161.27
2235	-0.5	0.5	26.9244	21.561
2237	-0.5	0.5	47.39116667	97.10466667
